No,FieldIndex,Piece,TargetYN,ListYN,IsLeaf,SourceType,IsEnum,MaxChars,Title,Description,Rules,Depth,L1,L2,L3,L4,L5,L6,L7,Idx,Type
413,derivedSection.miscInfoModule.submissionTracking.estimatedResultsFirstSubmitDate,EstimatedResultsFirstSubmitDate,N,N,Y,DATE,N,,Estimated Results First Submitted Date,"Results First Submitted Date but not yet Posted (e.g., still under QC review). ResultsFirstSubmitDate at this point is kept empty until Results is published on the public site",internally generated,4,derivedSection,miscInfoModule,submissionTracking,estimatedResultsFirstSubmitDate,,,,408.1.1.1,DATE - NormalizedDate
414,derivedSection.miscInfoModule.submissionTracking.firstMcpInfo,FirstMCPInfo,N,N,N,STRUCT,N,,First MCP Info,,,4,derivedSection,miscInfoModule,submissionTracking,firstMcpInfo,,,,408.1.1.1,STRUCT - FirstMcpInfo
415,derivedSection.miscInfoModule.submissionTracking.firstMcpInfo.postDateStruct,FirstMCPPostDateStruct,N,N,N,STRUCT,N,,,,,5,derivedSection,miscInfoModule,submissionTracking,firstMcpInfo,postDateStruct,,,408.1.1.1.1,STRUCT - DateStruct
416,derivedSection.miscInfoModule.submissionTracking.firstMcpInfo.postDateStruct.date,FirstMCPPostDate,N,N,Y,DATE,N,,First MCP Posted Date,Date of first MCP posted date,,6,derivedSection,miscInfoModule,submissionTracking,firstMcpInfo,postDateStruct,date,,408.1.1.1.1.1,DATE - NormalizedDate
417,derivedSection.miscInfoModule.submissionTracking.firstMcpInfo.postDateStruct.type,FirstMCPPostDateType,N,N,Y,TEXT,Y,,First MCP Posted Date Type,Date type for first MCP posted date,,6,derivedSection,miscInfoModule,submissionTracking,firstMcpInfo,postDateStruct,type,,408.1.1.1.1.1,TEXT - DateType
418,derivedSection.miscInfoModule.submissionTracking.submissionInfos,SubmissionInfo,N,Y,N,STRUCT,N,,Study Results Submission Info,Results submission cycle information of a study,,4,derivedSection,miscInfoModule,submissionTracking,submissionInfos,,,,408.1.1.1,STRUCT - SubmissionInfo[]
419,derivedSection.miscInfoModule.submissionTracking.submissionInfos.releaseDate,SubmissionReleaseDate,N,N,Y,DATE,N,,Release Date,Results released by DP to NLM,,5,derivedSection,miscInfoModule,submissionTracking,submissionInfos,releaseDate,,,408.1.1.1.1,DATE - NormalizedDate
420,derivedSection.miscInfoModule.submissionTracking.submissionInfos.unreleaseDate,SubmissionUnreleaseDate,N,N,Y,DATE,N,,Unrelease Date,Results unrelease (canceled release) by DP,,5,derivedSection,miscInfoModule,submissionTracking,submissionInfos,unreleaseDate,,,408.1.1.1.1,DATE - NormalizedDate
421,derivedSection.miscInfoModule.submissionTracking.submissionInfos.unreleaseDateUnknown,SubmissionUnreleaseDateUnknown,N,N,Y,BOOLEAN,N,,,,,5,derivedSection,miscInfoModule,submissionTracking,submissionInfos,unreleaseDateUnknown,,,408.1.1.1.1,BOOLEAN - boolean
422,derivedSection.miscInfoModule.submissionTracking.submissionInfos.resetDate,SubmissionResetDate,N,N,Y,DATE,N,,Reset Date,NLM QC reviewer reset/unlock study back to DP,,5,derivedSection,miscInfoModule,submissionTracking,submissionInfos,resetDate,,,408.1.1.1.1,DATE - NormalizedDate
423,derivedSection.miscInfoModule.submissionTracking.submissionInfos.mcpReleaseN,SubmissionMCPReleaseN,N,N,Y,NUMERIC,N,,Number of MCPs,Number of Major Comment Postings of a study,,5,derivedSection,miscInfoModule,submissionTracking,submissionInfos,mcpReleaseN,,,408.1.1.1.1,NUMERIC - integer
424,derivedSection.conditionBrowseModule,ConditionBrowseModule,N,N,N,STRUCT,N,,Condition Browse Module,"Support for ""Search By Topic""",,2,derivedSection,conditionBrowseModule,,,,,,408.1,STRUCT - BrowseModule
425,derivedSection.conditionBrowseModule.meshes,ConditionMesh,N,Y,N,STRUCT,N,,Condition MeSH Terms,MeSH terms of Condition/Diseases field,,3,derivedSection,conditionBrowseModule,meshes,,,,,408.1.1,STRUCT - Mesh[]
426,derivedSection.conditionBrowseModule.meshes.id,ConditionMeshId,N,N,Y,TEXT,N,,Condition MeSH ID,MeSH ID,"Derived from user input for ""conditions""",4,derivedSection,conditionBrowseModule,meshes,id,,,,408.1.1.1,TEXT - text
427,derivedSection.conditionBrowseModule.meshes.term,ConditionMeshTerm,N,N,Y,TEXT,N,,Condition MeSH Term,MeSH Heading,,4,derivedSection,conditionBrowseModule,meshes,term,,,,408.1.1.1,TEXT - text
428,derivedSection.conditionBrowseModule.ancestors,ConditionAncestor,N,Y,N,STRUCT,N,,Ancestors of Condition MeSH Terms,Ancestor (higher level and more broad) terms of Condition MeSH terms in MeSH Tree hierarchy,,3,derivedSection,conditionBrowseModule,ancestors,,,,,408.1.1,STRUCT - Mesh[]
429,derivedSection.conditionBrowseModule.ancestors.id,ConditionAncestorId,N,N,Y,TEXT,N,,Condition Ancestor MeSH ID,MeSH ID,,4,derivedSection,conditionBrowseModule,ancestors,id,,,,408.1.1.1,TEXT - text
430,derivedSection.conditionBrowseModule.ancestors.term,ConditionAncestorTerm,N,N,Y,TEXT,N,,Condition Ancestor MeSH Term,MeSH Heading,,4,derivedSection,conditionBrowseModule,ancestors,term,,,,408.1.1.1,TEXT - text
431,derivedSection.conditionBrowseModule.browseLeaves,ConditionBrowseLeaf,N,Y,N,STRUCT,N,,Condition Leaf Topics,Leaf browsing topics for Condition field,,3,derivedSection,conditionBrowseModule,browseLeaves,,,,,408.1.1,STRUCT - BrowseLeaf[]
432,derivedSection.conditionBrowseModule.browseLeaves.id,ConditionBrowseLeafId,N,N,Y,TEXT,N,,Condition Leaf Topic ID,,,4,derivedSection,conditionBrowseModule,browseLeaves,id,,,,408.1.1.1,TEXT - text
433,derivedSection.conditionBrowseModule.browseLeaves.name,ConditionBrowseLeafName,N,N,Y,TEXT,N,,Condition Leaf Topic Name,,,4,derivedSection,conditionBrowseModule,browseLeaves,name,,,,408.1.1.1,TEXT - text
434,derivedSection.conditionBrowseModule.browseLeaves.asFound,ConditionBrowseLeafAsFound,N,N,Y,TEXT,N,,Found by Condition Term,Normalized Condition term used to find the topic,LOW or HIGH,4,derivedSection,conditionBrowseModule,browseLeaves,asFound,,,,408.1.1.1,TEXT - text
435,derivedSection.conditionBrowseModule.browseLeaves.relevance,ConditionBrowseLeafRelevance,N,N,Y,TEXT,Y,,Relevance to Condition Leaf Topic,,,4,derivedSection,conditionBrowseModule,browseLeaves,relevance,,,,408.1.1.1,TEXT - BrowseLeafRelevance
436,derivedSection.conditionBrowseModule.browseBranches,ConditionBrowseBranch,N,Y,N,STRUCT,N,,Condition Branch Topics,Branch browsing topics for Condition field,,3,derivedSection,conditionBrowseModule,browseBranches,,,,,408.1.1,STRUCT - BrowseBranch[]
437,derivedSection.conditionBrowseModule.browseBranches.abbrev,ConditionBrowseBranchAbbrev,N,N,Y,TEXT,N,,Condition Branch Topic Short Name,,,4,derivedSection,conditionBrowseModule,browseBranches,abbrev,,,,408.1.1.1,TEXT - text
438,derivedSection.conditionBrowseModule.browseBranches.name,ConditionBrowseBranchName,N,N,Y,TEXT,N,,Condition Branch Topic Name,,,4,derivedSection,conditionBrowseModule,browseBranches,name,,,,408.1.1.1,TEXT - text
439,derivedSection.interventionBrowseModule,InterventionBrowseModule,N,N,N,STRUCT,N,,Drug/Intervention Browse Module,"Support for ""Search By Topic""",,2,derivedSection,interventionBrowseModule,,,,,,408.1,STRUCT - BrowseModule
440,derivedSection.interventionBrowseModule.meshes,InterventionMesh,N,Y,N,STRUCT,N,,Intervention MeSH Terms,MeSH terms of Drug/Interventions field,,3,derivedSection,interventionBrowseModule,meshes,,,,,408.1.1,STRUCT - Mesh[]
441,derivedSection.interventionBrowseModule.meshes.id,InterventionMeshId,N,N,Y,TEXT,N,,Intervention MeSH ID,MeSH ID,,4,derivedSection,interventionBrowseModule,meshes,id,,,,408.1.1.1,TEXT - text
442,derivedSection.interventionBrowseModule.meshes.term,InterventionMeshTerm,N,N,Y,TEXT,N,,Intervention MeSH Term,MeSH Heading,,4,derivedSection,interventionBrowseModule,meshes,term,,,,408.1.1.1,TEXT - text
443,derivedSection.interventionBrowseModule.ancestors,InterventionAncestor,N,Y,N,STRUCT,N,,Ancestors of Intervention MeSH Terms,Ancestor (higher level and more broad) terms of Intervention MeSH terms in MeSH Tree hierarchy,,3,derivedSection,interventionBrowseModule,ancestors,,,,,408.1.1,STRUCT - Mesh[]
444,derivedSection.interventionBrowseModule.ancestors.id,InterventionAncestorId,N,N,Y,TEXT,N,,Intervention Ancestor MeSH ID,MeSH ID,,4,derivedSection,interventionBrowseModule,ancestors,id,,,,408.1.1.1,TEXT - text
445,derivedSection.interventionBrowseModule.ancestors.term,InterventionAncestorTerm,N,N,Y,TEXT,N,,Intervention Ancestor MeSH Term,MeSH Heading,,4,derivedSection,interventionBrowseModule,ancestors,term,,,,408.1.1.1,TEXT - text
446,derivedSection.interventionBrowseModule.browseLeaves,InterventionBrowseLeaf,N,Y,N,STRUCT,N,,Intervention Leaf Topics,Leaf browsing topics for Intervention field,,3,derivedSection,interventionBrowseModule,browseLeaves,,,,,408.1.1,STRUCT - BrowseLeaf[]
447,derivedSection.interventionBrowseModule.browseLeaves.id,InterventionBrowseLeafId,N,N,Y,TEXT,N,,Intervention Leaf Topic ID,,,4,derivedSection,interventionBrowseModule,browseLeaves,id,,,,408.1.1.1,TEXT - text
448,derivedSection.interventionBrowseModule.browseLeaves.name,InterventionBrowseLeafName,N,N,Y,TEXT,N,,Intervention Leaf Topic Name,,,4,derivedSection,interventionBrowseModule,browseLeaves,name,,,,408.1.1.1,TEXT - text
449,derivedSection.interventionBrowseModule.browseLeaves.asFound,InterventionBrowseLeafAsFound,N,N,Y,TEXT,N,,Found by Intervention Term,Normalized Intervention term used to find the topic,LOW or HIGH,4,derivedSection,interventionBrowseModule,browseLeaves,asFound,,,,408.1.1.1,TEXT - text
450,derivedSection.interventionBrowseModule.browseLeaves.relevance,InterventionBrowseLeafRelevance,N,N,Y,TEXT,Y,,Relevance to Intervention Leaf Topic,,,4,derivedSection,interventionBrowseModule,browseLeaves,relevance,,,,408.1.1.1,TEXT - BrowseLeafRelevance
451,derivedSection.interventionBrowseModule.browseBranches,InterventionBrowseBranch,N,Y,N,STRUCT,N,,Intervention Branch Topics,Branch browsing topics for Intervention field,,3,derivedSection,interventionBrowseModule,browseBranches,,,,,408.1.1,STRUCT - BrowseBranch[]
452,derivedSection.interventionBrowseModule.browseBranches.abbrev,InterventionBrowseBranchAbbrev,N,N,Y,TEXT,N,,Intervention Branch Topic Short Name,,,4,derivedSection,interventionBrowseModule,browseBranches,abbrev,,,,408.1.1.1,TEXT - text
453,derivedSection.interventionBrowseModule.browseBranches.name,InterventionBrowseBranchName,N,N,Y,TEXT,N,,Intervention Branch Topic Name,,,4,derivedSection,interventionBrowseModule,browseBranches,name,,,,408.1.1.1,TEXT - text
454,hasResults,HasResults,N,N,Y,FUNC Present(ResultsFirstSubmitDate),N,,Has Results,Flag that indicates if a study has posted results on public site,,1,hasResults,,,,,,,454,FUNC Present(ResultsFirstSubmitDate) - boolean
